9.5, -117.931, 375.124
9.55, -136.882, 372.738
9.6, -155.788, 369.391
9.65, -174.6, 365.081
9.7, -193.27, 359.809
9.75, -211.748, 353.578
9.8, -229.984, 346.395
9.85, -247.93, 338.269
9.9, -265.536, 329.209
9.95, -282.754, 319.231
10, -299.535, 308.351
10.05, -315.833, 296.587
10.1, -331.6, 283.96
10.15, -346.792, 270.495
10.2, -361.363, 256.218
10.25, -375.27, 241.157
10.3, -388.471, 225.342
10.35, -400.925, 208.808
10.4, -412.594, 191.589
10.45, -423.439, 173.723
10.5, -433.425, 155.25
10.55, -442.519, 136.21
10.6, -450.688, 116.647
10.65, -457.903, 96.6063
10.7, -464.137, 76.1343
10.75, -469.364, 55.2794
10.8, -473.561, 34.0912
10.85, -476.709, 12.6207
10.9, -478.789, -9.07981
10.95, -479.787, -30.9571
11, -479.69, -52.9569
11.05, -478.488, -75.0241
11.1, -476.174, -97.1032
11.15, -472.743, -119.138
11.2, -468.196, -141.071
11.25, -462.533, -162.847
11.3, -455.759, -184.408
11.35, -447.881, -205.697
11.4, -438.909, -226.658
11.45, -428.857, -247.234
11.5, -417.741, -267.369
11.55, -405.58, -287.009
11.6, -392.396, -306.098
11.65, -378.213, -324.585
11.7, -363.059, -342.415
11.75, -346.965, -359.539
11.8, -329.963, -375.906
11.85, -312.088, -391.468
11.9, -293.38, -406.18
11.95, -273.878, -419.996
12, -253.625, -432.874
12.05, -232.668, -444.773
12.1, -211.052, -455.654
12.15, -188.828, -465.482
12.2, -166.047, -474.223
12.25, -142.763, -481.845
12.3, -119.031, -488.321
12.35, -94.9069, -493.624
12.4, -70.4493, -497.731
12.45, -45.7178, -500.622
12.5, -20.7728, -502.28
12.55, 4.32384, -502.691
12.6, 29.5096, -501.843
12.65, 54.7212, -499.73
12.7, 79.8947, -496.346
12.75, 104.966, -491.69
12.8, 129.871, -485.763
12.85, 154.544, -478.571
12.9, 178.921, -470.122
12.95, 202.938, -460.428
13, 226.532, -449.504
13.05, 249.639, -437.367
13.1, 272.196, -424.04
13.15, 294.143, -409.548
13.2, 315.418, -393.917
13.25, 335.963, -377.179
13.3, 355.72, -359.369
